Time (s),Rel X (m),Rel Y (m)
2.406979,0.343109,0.916822
2.410984,0.345388,0.915727
2.414989,0.347652,0.914640
2.418994,0.349892,0.913559
2.422999,0.352100,0.912484
2.427004,0.354269,0.911414
2.431009,0.356394,0.910344
2.435014,0.358471,0.909268
2.439019,0.360500,0.908181
2.443024,0.362478,0.907073
2.447029,0.364408,0.905935
2.451033,0.366291,0.904758
2.455038,0.368132,0.903536
2.459043,0.369934,0.902264
2.463048,0.371705,0.900943
2.467053,0.373452,0.899570
2.471058,0.375183,0.898148
2.475063,0.376906,0.896681
2.479068,0.378627,0.895174
2.483073,0.380352,0.893631
2.487078,0.382085,0.892056
2.491083,0.383830,0.890454
2.495088,0.385588,0.888830
2.499093,0.387361,0.887188
2.503098,0.389147,0.885529
2.507103,0.390946,0.883853
2.511108,0.392759,0.882160
2.515113,0.394585,0.880446
2.519118,0.396422,0.878710
2.523123,0.398267,0.876949
2.527128,0.400118,0.875163
2.531133,0.401976,0.873347
2.535138,0.403840,0.871498
2.539143,0.405710,0.869611
2.543147,0.407585,0.867684
2.547152,0.409468,0.865714
2.551157,0.411357,0.863703
2.555162,0.413253,0.861649
2.559167,0.415156,0.859552
2.563172,0.417068,0.857410
2.567177,0.418993,0.855222
2.571182,0.420935,0.852991
2.575187,0.422898,0.850724
2.579192,0.424884,0.848429
2.583197,0.426892,0.846120
2.587202,0.428923,0.843806
2.591207,0.430977,0.841497
2.595212,0.433051,0.839199
2.599217,0.435146,0.836920
2.603222,0.437260,0.834668
2.607227,0.439393,0.832450
2.611232,0.441543,0.830272
2.615237,0.443709,0.828134
2.619242,0.445891,0.826038
2.623247,0.448087,0.823980
2.627252,0.450297,0.821955
2.631257,0.452522,0.819956
2.635261,0.454765,0.817975
2.639266,0.457026,0.816006
2.643271,0.459306,0.814043
2.647276,0.461605,0.812079
2.651281,0.463922,0.810112
2.655286,0.466255,0.808138
2.659291,0.468601,0.806154
2.663296,0.470955,0.804157
2.667301,0.473315,0.802145
2.671306,0.475681,0.800112
2.675311,0.478053,0.798056
2.679316,0.480435,0.795970
2.683321,0.482831,0.793851
2.687326,0.485247,0.791695
2.691331,0.487688,0.789494
2.695336,0.490160,0.787244
2.699341,0.492669,0.784940
2.703346,0.495222,0.782578
2.707351,0.497825,0.780150
2.711356,0.500480,0.777653
2.715361,0.503194,0.775085
2.719366,0.505969,0.772448
2.723371,0.508804,0.769740
2.727375,0.511696,0.766964
2.731380,0.514639,0.764119
2.735385,0.517623,0.761209
2.739390,0.520634,0.758233
2.743395,0.523656,0.755190
2.747400,0.526676,0.752080
2.751405,0.529682,0.748904
2.755410,0.532663,0.745664
2.759415,0.535611,0.742357
2.763420,0.538520,0.738983
2.767425,0.541386,0.735540
2.771430,0.544207,0.732023
2.775435,0.546983,0.728430
2.779440,0.549718,0.724756
2.783445,0.552417,0.720996
2.787450,0.555086,0.717146
2.791455,0.557733,0.713200
2.795460,0.560363,0.709153
2.799465,0.562980,0.705000
2.803470,0.565586,0.700736
2.807475,0.568180,0.696357
2.811480,0.570758,0.691858
2.815485,0.573317,0.687235
2.819489,0.575857,0.682485
2.823494,0.578375,0.677606
2.827499,0.580870,0.672594
2.831504,0.583341,0.667446
2.835509,0.585790,0.662161
2.839514,0.588219,0.656740
2.843519,0.590631,0.651181
2.847524,0.593024,0.645484
2.851529,0.595398,0.639648
2.855534,0.597747,0.633671
2.859539,0.600068,0.627548
2.863544,0.602361,0.621277
2.867549,0.604625,0.614854
2.871554,0.606858,0.608276
2.875559,0.609059,0.601539
2.879564,0.611226,0.594637
2.883569,0.613357,0.587568
2.887574,0.615451,0.580326
2.891579,0.617505,0.572909
2.895584,0.619517,0.565314
2.899589,0.621485,0.557544
2.903594,0.623407,0.549600
2.907599,0.625279,0.541482
2.911603,0.627097,0.533189
2.915608,0.628856,0.524720
2.919613,0.630549,0.516075
2.923618,0.632168,0.507250
2.927623,0.633703,0.498243
2.931628,0.635143,0.489053
2.935633,0.636476,0.479677
2.939638,0.637687,0.470111
2.943643,0.638764,0.460351
2.947648,0.639689,0.450392
